title	description	coder 1	movie 1	topic 1	coder 2	movie 2	topic 2	final movie	final topic
Thanksgiving Box Office: S&S stays on top, Wish bombs, Napolean beats expectations	Box Office: Disney's 'Wish' Fizzles, 'Napoleon' Beats Expectations as 'Hunger Games' Lands on Top Again https://t.co/jFJ2b5Z3aV — Variety (@Variety) November 26, 2023The Hunger Games: The Ballad of Songbirds and Snakes kept its #1 position, grossing $42 mill…							Wish, Napoleon, HG	Box
Lily Gladstone shares her own message of support for Killers Of The Flower Moon audiences	One of the most fascinating things about the public reception to Martin Scorsese’s latest, Killers Of The Flower Moon, has been the ways the people involved in making it—most notably, the Native people who Scorsese cast, consulted with, and otherwise worked w…							KOTFM	Promo
The Hunger Games: The Ballad of Songbirds & Snakes	A surprisingly suspenseful prequel.							HG	Plot
The Marvels Just Had The Biggest Second Weekend Drop Ever For A Superhero Movie	The Marvel Cinematic Universe is good and truly in trouble, with The Marvels collapsing at the box office in its second weekend.							Marvels	Box
Godzilla Minus One Breaks Multiple Box Office Records	Godzilla Minus One breaks multiple box office records during its opening weekend, cementing its place as a very successful Godzilla film.							Godzilla	Box
The Best Part Of Killers Of The Flower Moon May Make Incredible Oscars History In 2024	Killers of the Flower Moon is a strong contender for multiple Academy Award nominations, with the potential for one Oscar win to make history.							KOTFM	Awards
The 20 Oscar Visual Effects Finalists + AFI list	‘Rebel Moon,’ ‘Barbie’ and ‘Wonka’ Among 20 Oscar Visual Effects Finalists (EXCLUSIVE) https://t.co/XOZWL8SktT — Variety (@Variety) December 7, 2023 In quite the award season shocker, Oppenheimer did not make the Oscar Visual Effects short list Variety someh…							NM	NR
The Hunger Games: The Ballad of Songbirds & Snakes Interview: Producer On Coriolanus Snow Lore	The Hunger Games: The Ballad of Songbirds &amp; Snakes producer Nina Jacobson discusses Coriolanus Snow, Hunger Games lore, and practical locations.							HG	Promo
Killers Of The Flower Moon Is The Good Version Of Gangs Of New York	Though longer and more epic, Martin Scorsese&amp;#39;s Killers of the Flower Moon plays out like a much more streamlined and powerful version of his Gangs of New York.							KOTFM	Plot
The Hunger Games Tops The Box Office, But Lionsgate Isn't Partying Like It's 2012	The Hunger Games: The Ballad of Songbirds &amp; Snakes easily topped the box office, but it wasn&amp;#39;t as big of a hit as previous Hunger Games movies.							HG	Box
Napoleon: Two Centuries of Life After Death	Revolutionary soldier or tyrannical emperor? The question is as pertinent now as when Napoleon Bonaparte died in exile on remote Saint Helena in 1821.							NR	
Atom Tickets: The Hunger Games: The Ballad of Songbirds & Snakes Movie Tickets B1G1 Free	Atom Tickets is offering Buy 1 Get 1 Free Movie Tickets for The Hunger Games: The Ballad of Songbirds & Snakes w/ promo code QUEUE applied at checkout.Note, add a quantity of 2 movie tickets to ca ...							HG	Promo
Next Goal Wins Feels Like A '90s Throwback, But It Forgot One Crucial Component	Taika Waititi built his career on making great hang out films featuring memorable characters. With Next Goal Wins, he abandoned that approach - and it cost him.							NM	
The Hunger Games: The Ballad of Songbirds & Snakes Review: A Jaw-Dropping Prequel	Welcome to the 10th Annual Hunger Games. Years after we last visited this franchise with The Hunger Games: Mockingjay – Part 2, it’s time to return to Panem for a story that takes place decades before Katniss Everdeen volunteered as tribute. The Hunger Games:…							HG	Promo
The Marvels Ending And Mid-Credits Scene Explained	After several months of delay, Marvel's The Marvels has landed in movie theaters. Despite being the shortest movie in the Marvel Cinematic Universe thus far, The Marvels leaves quite an impact--the ending sets up two separate major plot threads for the future…							Marvels	Plot
If There's a Thor 5, Taika Waititi Won't Be Part of It	In one of those rare cases where the rumor mills are actually accurate, director Taika Waititi confirmed that if Marvel Studios decides to make a fifth Thor movie, he won’t be involved. “I wouldn’t know if that’s [a Thor 5 happening] accurate,” Waititi said t…							NM	
Martin Scorsese to Be Honored with David O. Selznick Achievement Award at 2024 PGA Awards	"The Producers Guild of America announced that the ""Killers of the Flower Moon"" filmmaker will receive the prestigious David O. Selznick Achievement Award at the 35th annual Producers Guild Awards."							KOTFM	Awards
'The Marvels' Has A Far From Marvelous N.America Opening	"New superhero film ""The Marvels"" is making history, and not in a good way: its estimated $47 million North American take over the weekend marks the lowest debut ever for a movie from Disney's normally money-cranking Marvel Cinematic Universe."							Marvels	Box
Apple Original Films’ ‘Killers of the Flower Moon,’ from Martin Scorsese, available to rent or buy on December 5th	On the heels of “Killers of the Flower Moon” being named Best Film of 2023 and Lily Gladstone being awarded Best Actress by the… The post Apple Original Films’ ‘Killers of the Flower Moon,’ from Martin Scorsese, available to rent or buy on December 5th appear…							KOTFM	Streaming
'Killers of the Flower Moon' gets digital release before Apple TV+ streaming debut	"Potential viewers of the Martin Scorsese-directed ""Killers of the Flower Moon"" have a bit longer to wait to watch the film on Apple TV+, but it will be made available to buy and rent digitally ahead of its streaming service release.Lily Gladstone and Leonardo…"							KOTFM	Streaming
What Did Steven Spielberg Have to Say About 'Killers of the Flower Moon'?	As the studios prepare to roll out their Academy Award campaigns, the major benefit we get as fans and filmmakers is the interviews. I love hearing the process behind how movies come together, and I love it when other famous filmmakers join in the conversatio…							KOTFM	Promo
Leonardo DiCaprio Attends Robbie Robertson's Celebration of Life with 'Killers of the Flower Moon' Collaborators	Leonardo DiCaprio shows his support at the Robbie Robertson: A Celebration of His Life And Music event held at The Village Studios on Wednesday (November 15) in Los Angeles. If you don’t know, Robbie passed away this past August at the age of 80. Robbie and M…							KOTFM	NR
Christopher Nolan Defends the Role of Franchises in Hollywood: A Healthy Film Industry Needs ‘A Balance’	"Nolan responded to Martin Scorsese's recent comments calling for prominent filmmakers to ""fight back"" against the prevalence of comic book movies."							NM	
The 10 Best Movies of 2023	From 'Past Lives' to 'Killers of the Flower Moon,' see TIME's picks for the best movies of the year.							KOTFM	Plot
Why We’re Still So Obsessed With Napoleon	David A. Bell explores the many sides of Napoleon, and how his story should remind us of the darkness that humans are capable of—not just the grand adventures.							NM	
Martin Scorsese explains [REDACTED]’s Killers Of The Flower Moon cameo	I was taken by the impact of the realization that all of this is reduced to a half-hour piece of entertainment							KOTFM	Plot
‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Devours $99M Global Opening; ‘Trolls Band Together’ Tops $100M WW – International Box Office	Refresh for latest…: Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes very (very) narrowly missed the $100M mark globally in its opening weekend, but it’s as near as dammit with an estimated $98.5M through Sunday worldwide. The Francis Lawrence-…							HG, Trolls	Box
Here’s Why Taylor Swift Didn’t Attend Beyoncé's Movie Premiere After Bey’s Surprise 'Eras Tour' Premiere Appearance	Taylor Swift is missing the premiere of Beyonce‘s new movie Renaissance: A Film By Beyonce on Saturday night (November 25), but she has a very good reason. If you forgot, the “Break Me Soul” superstar was a surprise celebrity guest on the red carpet when Tayl…							Renaissance	Promo
Spirit Awards Analysis: Noms Advance Oscar Contenders ‘American Fiction,’ ‘May December,’ ‘Past Lives’	Forward momentum helps: The Film Independent Spirit Award honorees and Oscars could share some overlap this season.							NM	
Napoleon conquers Wish but gets exiled by the Hunger Games prequel	November 2023: Napoleon is master of the domestic box office. Only The Hunger Games: The Ballad Of Songbirds & Snakes stands before it. Oceans are now battlefields. Or, you know, close enough. Ridley Scott’s Napoleon has successfully defeated every other movi…							Napoleon, Wish, HG	Box
What Critics And Fans Are Saying About The Marvels	2023 has been a rough year for the MCU, but does The Marvels end things on a high note? Here&amp;#39;s what critics and fans are saying about the film.							Marvels	Plot
Did Josephine Actually Love Napoleon? Ridley Scott Has Thoughts	Were Napoleon Bonaparte (played by Joaquin Phoenix) and Jos&eacute;phine de Beauharnais (played by Vanessa Kirby) really in love? Ridley Scott has thoughts.							Napoleon	Plot
Godzilla Minus One review: The monster roars louder than ever	Nearly 70 years and more than 35 films into the series, it’s a testament to the enduring appeal of a skyscraper-sized lizard that Godzilla movies can still surprise you. He may not be the most flexible nuclear-powered dinosaur, but the concept is undeniably m…							Godzilla	Plot
Deadline Launches Streaming Site For Sound & Screen: Film	The 2023 edition of Deadline’s live-music event Sound & Screen: Film hit the stage November 9 showcasing the songs and scores from 12 of the ramping-up awards season’s buzziest movies. Panelists and performances came from the likes of Diane Warren and Mark Ro…							NM	Awards
Leonardo DiCaprio's Top 10 Highest-Grossing Movies (They All Made Over $100 Million!)	Leonardo DiCaprio has had himself quite the career, appearing in many lucrative films! The 49-year-old actor recently starred in Martin Scorsese‘s Killers of the Flower Moon, which has brought in $66.5 million domestically. Over the years, Leo has garnered a …							KOTFM	NR
Gotham Awards Winners List – Updating Live	The Gotham Awards, among the first of the movie-kudos season, is underway at Cipriani Wall Street in Manhattan. Deadline will be updating the winners list as they are announced. The first trophy of the night went to Anatomy of a Fall for Best Screenplay, penn…							NM	
Here's how to watch Killers of the Flower Moon at home today — rent or buy	Killers of the Flower Moon is available on streaming today, but not on Apple TV Plus like we all expected.							KOTFM	Streaming
Hunger Games Wins Thanksgiving Weekend Box Office	Hunger Games: The Ballad of Songbirds & Snakes held off some stiff competition this holiday box office weekend to stay number one. The prequel added $42 million over the five-day holiday period, Pushing it close to the $100 million mark in its first two weeke…							HG	Box
AFI Names 10 Best Films and TV Series of 2023: ‘Barbie,’ ‘Past Lives,’ ‘Oppenheimer,’ ‘Succession,’ ‘Beef,’ and More	The American Film Institute has announced its annual AFI Awards, including the best film and TV of the year.							NM	
Taika Waititi's Next Goal Wins Is 2023's Latest Box Office Bomb	Despite its low budget, Taika Waititi&amp;#39;s delayed sports comedy Next Goal Wins is unlikely to recoup its costs at the box office. But what went wrong, exactly?							NM	
The Ballad of Songbirds & Snakes might be the best Hunger Games movie yet	The Hunger Games: The Ballad of Songbirds & Snakes finds a new wrinkle in a story we thought we knew.							HG	Plot
Godzilla Minus One Sequel Chances Following Shocking Ending Reveal Addressed By Director	Godzilla Minus One director, writer, and visual effects designer Takashi Yamazaki addresses the possibility of the new monster movie getting a sequel.							Godzilla	Plot
‘Hunger Games: Ballad Of Songbirds & Snakes’: Spotify A Key Partner In Country Music Infused Prequel	Music has continually been a facet of Lionsgate‘s $3 billion Hunger Games franchise going back to ditties from Taylor Swift, Coldplay and Lorde, and with today’s theatrical release of Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes, the studio …							HG	Prod
Olivia Rodrigo Drops ‘Can’t Catch Me Now’ Music Video For ‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Soundtrack	Olivia Rodrigo is contributing her music to the soundtrack for The Hunger Games: The Ballad of Songbirds & Snakes with “Can’t Catch Me Now.” The High School Musical: The Musical: The Series alum attended the premiere of the film in L.A. as her music video als…							HG	Prod
Killers of the Flower Moon Digital & PVOD Release Date Announced	Paramount Home Entertainment has announced the Killers of the Flower Moon digital release for Martin Scorsese’s newest crime drama epic starring Leonardo DiCaprio and Lily Gladstone. This comes after over a month since the film’s October 20 wide release. Kill…							KOTFM	Streaming
Tina Knowles Posts Sweet Moment Beyonce & Blue Ivy Shared on Red Carpet at London Premiere	Beyonce and Blue Ivy shared a precious moment on the red carpet, and Tina Knowles is posting it for the world to see! If you were unaware, the “Break My Soul” icon is in London, England for the premiere of her movie Renaissance: A Film By Beyonce on Thursday …							Renaissance	NR
‘Killers Of The Flower Moon’ Star Lily Gladstone Warns Indigenous Viewers Of Film’s Traumatic Impact	Killers of the Flower Moon star Lily Gladstone is encouraging Indigenous viewers to watch the Martin Scorsese film “when and only if you feel ready.” The film looks at 1920s Oklahoma and the murder of dozens of the Osage people in an attempt to steal their we…							KOTFM	Plot
Napoleon Box Office Prediction: Will It Flop or Succeed?	Joaquin Phoenix’s Napoleon hits the theaters soon, and fans wish to find out how it will perform at the box office. Will the latest Apple TV movie flop, or will it succeed? Here’s a prediction based on the current projections. How Much Money is Napoleon predi…							Napoleon	Box
Napoleon Bonaparte's hat to go on sale at Paris auction	The black bicorne felt hat was a trademark of the French emperor, and is expected to fetch up to €800,000.							NR	
Saturday assorted links	1. “The World Bank estimates that crime costs South Africa 10% of GDP annually.”  Link here. 2. An analysis of Geert Wilders.  People don’t like deductibles! 3. An unreasonable and offensive rant against Millennials. 4. Advance raves for Godzilla Minus One.  …							NR	
Teen Dystopian Movies Ranked, From ‘The Hunger Games’ to ‘Divergent’	As ‘The Hunger Games: The Ballad of Songbirds & Snakes’ enters the canon, a ranking of postapocalyptic movies adapted from dystopian YA novels—from the utterly bleak to the genre peak.							HG	Plot
7 Box Office Records Broken By Godzilla Minus One	Godzilla Minus One has been a massive commercial success since its release, and here are all seven box office records the film has broken so far.							Godzilla	Box
These Are Fans' 10 Favorite Leonardo DiCaprio Movies (& 'Titanic' Doesn't Even Make the List!)	Cinephiles have shared their opinions about Leonardo DiCaprio‘s movies! The Oscar-winning actor burst onto the Hollywood scene in the 1990s with his roles in What’s Eating Gilbert Grape and Titanic, which catapulted Leonardo to the A-list status he has retain…							NM	
‘Renaissance: A Film By Beyoncé’ Brightens Up Thursday With $5M Previews; 99% Positive Audience Exits – Box Office	AMC Entertainment’s second concert film theatrical release, Renaissance: A Film by Beyonce, fired up last night with $5M previews from showtimes that began at 7PM. While that figure is higher than the Thursday night previews for AMC’s Taylor Swift: The Eras T…							Renaissance	Box
What went wrong with The Marvels? 5 reasons why the MCU is in trouble	After a disastrous opening reception, many are asking this question: What went wrong with The Marvels? Here are 5 reasons why the latest MCU movie flopped.							Marvels	Box
The Marvels Pays Off The Worst Part Of Secret Invasion Ending (Kind Of)	Secret Invasion never really explained why Skrulls couldn&amp;#39;t have a place of their own on Earth like New Asgard, and The Marvels actually rectifies that.							Marvels	Plot
Martin Scorsese’s Killers of the Moon hits Apple TV+ December 5	Apple’s original critically-acclaimed film Killers of the Moon hits Apple TV+ on December 5th. Killers of the Flower Moon is a 2023 American western crime drama based on the 2017 non-fiction book of the same name. It’s set in 1920s Oklahoma and focuses on the…							KOTFM	Streaming
‘Killers Of The Flower Moon’ Named Best Film By The National Board Of Review	Martin Scorsese’s Western historical epic Killers of the Flower Moon on Wednesday was named Best Film by the National Board of Review, the second major awards honor for the Apple Original Films pic this week after it also won the top prize from the New York F…							KOTFM	Plot
A Little Race War	Martin Scorsese’s Killers of the Flower Moon says the usual things about America’s racial demons, and says some of them well. The post  A Little Race War appeared first on The American Conservative.							KOTFM	Plot
The Hunger Games Prequel Movie Popcorn Bucket: Where to Buy the Container & Cup?	As the theatrical release of The Hunger Games: The Ballad of Songbirds & Snakes is approaching, fans want to know where they can get their hands on the film’s limited edition popcorn bucket and cup. Here is all you need to know. Where to buy The Hunger Games:…							HG	Promo
Killers of the Flower Moon Writer Hired by Denis Villeneuve for Mystery Space Movie	Killers of the Flower Moon writer Eric Roth recently revealed that he has written a mysterious movie for Dune director Denis Villeneuve. During a recent appearance on the “A Script Apart” podcast, Roth said that he isn’t sure what will happen with the project…							KOTFM	NR
How Much The Hunger Games: The Ballad Of Songbirds & Snakes Cost To Make & What Box Office It Needs	The Ballad of Songbirds &amp; Snakes continues the Hunger Games franchise story. Is it expected to do well at the box office? We break down the numbers.							HG	Box
Boosie Badazz Enraged By 'Killers Of The Flower Moon' Movie: 'This P-sses Me The F-ck Off'	"Boosie Badazz shared his thoughts on Martin Scorsese's 'Killers of the Flower Moon,' revealing he ""hated"" the contents of the movie."							KOTFM	Plot
Trolls Band Together Review: Slick But Soulless Production Still Appeals To Kids	Trolls Band Together shows clear signs of franchise fatigue, but a few new songs and vivid animation choices keep it afloat a little longer.							Trolls	Plot
"Five Nights At Freddy's 2's ""Even Bigger"" Plan Teased By Villain Actor: ""I'm Excited To See When They Greenlight [It]"""	A Five Nights at Freddy's star expresses his excitement over the potential for Five Nights at Freddy's 2 to be even bigger and more successful.							FNAF	NR
Trolls Band Together Review	Justin Timberlake and Anna Kendrick's high-energy mash-ups are starting to sound the same.							Trolls	Plot
Robert De Niro Blasts Apple for Editing Gotham Awards Speech	Apple apparently removed a political portion of De Niro's speech without his knowledge. Robert De Niro Blasts Apple for Editing Gotham Awards Speech Scoop Harrison							NR	
Only One 2023 Movie with a Budget Over $200 Million Has Made a Profit (So Far) This Year	"And there's no assurance that others will follow suit. As ""Wish"" and ""Napoleon"" join the $200 Million Club, we examine the increasingly slippery slope of making money on very big-budget movies."							Napoleon, Wish	Box
Is Godzilla Minus One The Best Godzilla Movie? 10 Biggest Takeaways From Reviews	Godzilla Minus One has garnered rave reviews from critics and fans, and its reviews provide insight into the reasons why it's been so well-received.							Godzilla	Plot
The big questions we had after The Marvels, and a few answers	What was up with Dar-Benn (not Darbin!), Maria Rambeau, Monica’s costume, Captain Marvel’s MCU timeline, the Secret Invasion connections, and more.							Marvels	Plot
Timothée Chalamet Sings of a ‘World of Shameless Self-Promotion’ Post-Strike and Is a Sleep Demon Troye Sivan on ‘SNL’	"The episode's standout features Chalamet as the ""gay-famous"" Australian pop star."							NR	
Every Godzilla film, ranked from worst to best	Across four eras—Showa, Heisei, Millenium, and Reiwa—Godzilla has helped chart the course of both a country and a culture, speaking to the fears, hopes, and most fantastical dreams of the Japanese people. Toho’s Godzilla films have captivated the world for ne…							NM	Plot
In the ‘Hunger Games’ of Box Office, ‘Napoleon’ and ‘Wish’ Fall Short of #1 on a Holiday Weekend	"Ridley Scott's epic surprisingly topped Disney Animation's latest for #2. Netflix may not be willing to acknowledge it, but ""Maestro"" may represent its best platform opening in years."							HG, Napoleon, Wish	Box
Bold Speeches from Auteurs and Comfy Couches: IndieWire Honors 2023 Is the Awards Show Like No Other	"Honorees like Todd Haynes and Greta Gerwig reflected on the start of their careers, while actress Lily Gladstone uplifted Erica Tremblay's ""Fancy Dance."""							NR	
Napoleon Is a Big, Messy Pageant, With Joaquin Phoenix as Its Dad-Humor Emperor	Ridley Scott's historical epic is sometimes boring and pretentious and often a little silly, but there's still something compelling about it. Read TIME's review.							Napoleon	Plot
Godzilla Minus One Clip Shows Titular Kaiju Chasing a Tugboat	A brand new Godzilla Minus One clip from Toho’s latest live-action Godzilla movie has been released. It features an extended look at one of the action-packed sequences teased in previous trailers. The video shows the titular Kaiju terrorizing a group of men o…							Godzilla	Promo
‘Godzilla Minus One’ Review: Toho’s Franchise Return Breathes Exciting New Life Into Japan’s Biggest Star	After countless variations and sequels, plus major studio Hollywood versions, Toho is back in the driver’s seat for the first time since 2016 with a new take on the 70-year-old Godzilla franchise, a consistent run far longer than Bond and just about anything …							Godzilla	Plot
One Of Five Nights At Freddy's Animatronics Caught Fire While Filming	Talk about scary: on the set of the Five Nights at Freddy&amp;#39;s movie, one of the animatronics ended up catching fire. Yikes!							FNAF	NR
‘The Marvels’ Makes Box Office History, ‘The Hunger Games’ Eyes #1 Spot	"What cost ""The Marvels"" the box office crown for November, and will ""The Hunger Games: The Ballad of Songbirds and Snakes"" become the month's box office royalty?"							Marvels, HG	Box
Martin Scorsese Hosts Robbie Robertson Tribute Concert, With Jackson Browne and Others Paying Musical Homage	In honor of the late Robbie Robertson, whose “Killers of the Flower Moon” score was his final work, Martin Scorsese hosted a private tribute concert Wednesday in Los Angeles that had guests including Joni Mitchell, Leonardo DiCaprio and Lily Gladstone watchin…							KOTFM	NR
Anna Kendrick And ‘Trolls Band Together’ Filmmakers On Nearly A Decade Of Toon Tunes – Contenders Film L.A.	“I think I didn’t realize how lucky I got with this team,” franchise star Anna Kendrick said about DreamWorks Animation’s Trolls Band Together. Speaking at Deadline’s Contenders Film: Los Angeles event, the Oscar nominee said, “I have other friends who have d…							Trolls	Prod
Beyoncé’s Renaissance Movie Tops U.S. Box Office in Its Opening Weekend	In its first weekend, the concert film bested The Hunger Games: The Ballad of Songbirds & Snakes and Godzilla Minus One	Tristan	Renaissance, HG, Godzilla	Box	Michael	Renaissance, HG, Godzilla	Box	Renaissance, HG, Godzilla	Box
What’s new on VOD and Digital in December 2023	What's new on VOD and Digital in December 2023? Killers of the Flower Moon, Taylor Swift: The Eras Tour, Trolls Band Together, It’s a Wonderful Knife, and more.	Tristan	Trolls, KOTFM	Streaming	Michael	KOTFM, Trolls	Streaming	KOTFM, Trolls	Streaming
The Marvels Drama, Fallout TV Show Reveals, and More Top Pop Culture News of the Week	It’s been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at Fallout and Furiosa all made the list of our most read stori…	Tristan	Marvels	NR	Michael	Marvels	NR	Marvels	NR
Beyoncé defeats Godzilla Minus One to claim the weekend box office crown	Move over superhero movies, the hot new thing in American cinemas is apparently concert films. After Taylor Swift: The Eras Tour made nearly $180 million over the last eight weeks, Beyoncé has arrived to do her part in taking over the theater industry. Renais…	Tristan	Renaissance, Godzilla	Box	Michael	Godzilla	Box	Godzilla	Box
The Hunger Games: The Ballad of Songbirds & Snakes: what to watch before the new movie	In the latest episode of Binge Club, our experts tell you everything you need to watch ahead of the newest Hunger Games flick	Tristan	HG	Promo	Michael	HG	Promo	HG	Promo
May the weekend box office be ever in The Ballad Of Songbirds And Snakes’ favor	After a couple of slow weekends at the domestic box office, things have bounced back nicely thanks to four pretty big new releases that mostly did okay (and one movie with a limited rollout that did relatively good). The biggest of those big new releases is H…	Tristan	HG	Box	Michael	HG	Box	HG	Box
The Mail	Readers respond to Emma Green’s piece about New York’s teacher-certification requirements, Jackson Arn’s review of “Manet/Degas,” and Anthony Lane’s review of “Killers of the Flower Moon.”	Tristan	KOTFM	Plot	Michael	KOTFM	Plot	KOTFM	Plot
Ridley Scott's Napoleon Rides To A $33 Million Debut At The Thanksgiving Box Office	Napoleon is battling Disney&amp;#39;s Wish for second place at the Thanksgiving box office, as Apple Original Films makes another bid for awards season prestige.	Tristan	Napoleon, Wish	Box	Michael	KOTFM, Wish	Box	Napoleon, Wish	Box
De Niro says Apple censored his award show speech, so he read the original from his phone	On Monday night, Robert De Niro took the stage at the Gotham Awards in New York City to introduce an award for Martin Scorsese's Apple film, Killers of the Flower Moon, which De Niro starred in.     When he looked at the teleprompter, he realized the first pa…	Tristan	KOTFM	Awards	Michael	KOTFM	Awards	KOTFM	Awards
‘The Hunger Games: Ballad Of Songbirds & Snakes’ Sings Past $100M At Domestic Box Office	Benchmarks we should celebrate as the marketplace looks to rebound after dual strikes that sidelined the box office: Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes has crossed the $100M mark at the domestic box office yesterday in its 11th day…	Tristan	HG	Box	Michael	HG	Box	HG	Box
Godzilla Minus One Is a Terrifying, Hopeful Throwback	Screenshot: Toho Godzilla, and Godzilla movies, has been many things over the past 69 years—the King of All Monsters has changed in character as often as he’s changed in design, from horrifying force of nature to heroic defender of the Earth. It’s fitting th…	Tristan	Godzilla	Plot	Michael	Godzilla	Plot	Godzilla	Plot
Apple’s latest tvOS beta kills the iTunes Movies and TV shows apps	Apple’s latest tvOS beta suggests the iTunes Movies and TV Shows apps on Apple TV are on their way out. 9to5Mac reports the set-top box’s former home of streaming purchases and rentals is no longer in the tvOS 17.2 release candidate (RC), now available to dev…	Tristan	NR		Michael	NR		NR	
‘The Hunger Games: The Ballad Of Songbirds & Snakes’ World Premieres As Team Optimistic For More Sequels	Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes had its world premiere at London’s BFI IMAX this evening, with a red carpet that featured director Francis Lawrence and stars Rachel Zegler, Tom Blyth, Hunter Schafer, Josh Andres Rivera and more.…	Tristan	HG	Promo	Michael	HG	Promo	HG	Promo
‘The Hunger Games: The Ballad of Songbirds & Snakes’ Review: The Rare Hollywood Prequel That Towers Over the Rest of Its Franchise	Hollywood's obsession with dystopian YA stories might be over, but the sub-genre's best movie just arrived.	Tristan	HG	Plot	Michael	HG	Plot	HG	Plot
Ridley Scott Points Out He’s Made Four Films Since Martin Scorsese Started ‘Killers of the Flower Moon’	"I get up in the morning and say, 'Ah great! Another day of stress,' the ""Napoleon"" director said."	Tristan	Napoleon, KOTFM	NR	Michael	Napoleon, KOTFM	NR	Napoleon, KOTFM	NR
‘Hunger Games: Ballad Of Songbirds & Snakes’ Looks To Sing $100M+ Worldwide Opening – Preview	In what will be a revived week for moviegoing post actors strike heading into the Thanksgiving holiday, Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes is looking to lead a global frame with a $100M+ start. The pic is one of four big studio wid…	Tristan	HG	Box	Michael	HG	Box	HG	Box
Ridley Scott's Napoleon Conquered The World Over Thanksgiving (At The Box Office)	Napoleon grossed $78.8 million worldwide over the Thanksgiving holiday, ranking in first place thanks to a strong overseas performance.	Tristan	Napoleon	Box	Michael	Napoleon	Box	Napoleon	Box
Martin Scorsese Hilariously Admits He’s ‘Tricked Into’ Making TikToks With Daughter Francesca	“I didn’t know those things go viral,” the iconic filmmaker said.	Tristan	NR		Michael	NR		NR	
‘The Marvels’ Debuts Atop U.K., Ireland Box Office as ‘Tiger 3’ Roars	Disney’s “The Marvels” debuted atop the U.K. and Ireland box office with £3.4 million ($4.2 million), according to numbers released by Comscore. However, in keeping with its global bow, the opening was soft as the latest installment in the MCU scored just abo…	Tristan	Marvels	Box	Michael	Marvels	Box	Marvels	Box
How Josh Hutcherson Landed Five Nights At Freddy's Biggest Role	According to director Emma Tammi, Josh Hutcherson immediately grasped what makes the Five Nights at Freddy&amp;#39;s franchise so special.	Tristan	FNAF	Prod	Michael	FNAF	Promo	FNAF	Prod
‘Trolls Band Together’ Gets Psychedelic	"The new sequel features the giant lollipop-looking Velvet (Amy Schumer) and Veneer (Andrew Rannells), and 2D animation inspired by R. Crumb and ""Yellow Submarine."""	Tristan	Trolls	Plot	Michael	Trolls	Prod	Trolls	Plot
It’s Finally Trophy Time for the MFL	‘Past Lives’ won the day at the Gotham Awards, but ‘Killers of the Flower Moon’ and ‘May December’ didn’t go without recognition. Plus, box office breakdowns for ‘Wish’ and ‘The Hunger Games: The Ballad of Songbirds & Snakes.’	Tristan	KOTFM, Wish, HG	Awards	Michael	KOTFM, Wish, HG	Awards	KOTFM, Wish, HG	Awards
A career trend to bet on	The creator economy is too large to ignore. And it's not just influencers cashing in. An industry has built up to support social-media stars.	Tristan	NR		Michael	NR		NR	
Killers Of The Flower Moon is now available to watch at home	If you were nervous about seeing a 206-minute epic with absolutely no intermissions in theaters, or you really wanted to experience Brendan Fraser and his “girth” from the comfort of your own home, today’s your lucky day. Fresh off nabbing both a Best Film wi…	Tristan	KOTFM	Streaming	Michael	KOTFM	Streaming	KOTFM	Streaming
Why ‘Napoleon’ and ‘Spider-Man’ Made the Oscar VFX Long List — and ‘Oppenheimer’ Did Not	"Gareth Edwards' ""The Creator"" is now the frontrunner, with ""Across the Spider-Verse"" as the underdog."	Tristan	Napoleon	Awards	Michael	Napoleon	Awards	Napoleon	Awards
Martin Scorsese's Killers Of The Flower Moon Cameo Was A Perfect Accident	Martin Scorsese has a show stopping cameo in his new film Killers of the Flower Moon, but it almost didn&amp;#39;t happen.	Tristan	KOTFM	Prod	Michael	KOTFM	Prod	KOTFM	Prod
How To Watch Martin Scorsese's Killers Of The Flower Moon At Home	Martin Scorsese fans can experience one of the most devastating and powerful movies of 2023 all over again when Killers of the Flower Moon hits the home market.	Tristan	KOTFM	Streaming	Michael	KOTFM	Streaming	KOTFM	Streaming
‘The Hunger Games’ Star Rachel Zegler Recalls Meeting Jennifer Lawrence Jokingly Wanting To Strangle Her For Photo	Rachel Zegler stars in The Hunger Games: The Ballad of Songbirds & Snakes and recently recalled an encounter she had with OG star Jennifer Lawrence. While making an appearance on The Kelly Clarkson Show, Zegler opened up about meeting Lawrence during the Chri…	Tristan	HG	NR	Michael	HG	Promo	HG	Promo
‘Hunger Games: Ballad Of Songbirds & Snakes’: Spotify A Key Partner In Country Music Infused Prequel	EXCLUSIVE: Music has continually been a facet of Lionsgate’s $3 billion Hunger Games franchise going back to ditties from Taylor Swift, Coldplay and Lorde, and with today’s theatrical release of Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes, …	Tristan	HG	Prod	Michael	HG	Prod	HG	Prod
